CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,CH 11,CH 12,Suhu,Debit
0,0,0,0,0,0,0,0,0,0,6,4,28.1,33.399
0,3,0,0,0,3,0,0,5,17,17,13,27.6,23.473
0,1,29,31,24,29,42,0,4,8,0,6,28,34.202
0,15,32,26,0,35,27,0,15,14,20,25,27.2,27.674
31,6,27,24,2,20,10,30,2,5,0,0,27.6,23.584
43,12,0,11,18,0,0,0,0,0,0,0,27.6,20.568
50,0,16,0,0,15,0,40,0,0,0,0,28.1,72.127
48,18,14,17,36,20,25,35,16,0,0,0,27.6,101.63
28,42,33,28,0,25,20,25,14,88,34,68,27.9,111.215
0,57,31,77,48,70,41,42,12,30,6,0,27.1,125.342
0,41,26,51,73,45,30,0,44,7,6,0,26.8,80.97
0,0,0,0,0,0,23,0,29,0,0,0,26.8,42.436
23,47,27,39,2,45,21,10,10,66,4,8,27.3,73.428
18,12,32,16,0,10,15,30,15,42,18,0,27.6,52.936
0,67,0,27,1,66,0,27,6,40,2,36,28.1,83.977
39,8,28,11,3,8,20,0,0,16,24,0,28.6,95.099
0,32,7,42,52,25,30,40,0,40,0,0,28.8,110.73
0,0,80,81,48,0,40,0,0,4,11,12,28.6,154.894
56,0,19,17,18,0,55,25,0,0,130,23,27.7,288.141
77,0,33,37,49,0,70,50,0,80,30,81,28,339.997
66,95,67,35,46,0,78,62,98,126,99,116,28,393.822
0,0,0,14,11,0,0,0,0,0,0,0,28.2,150.262
7,0,24,22,48,5,13,11,13,0,69,32,28.1,111.542
13,20,26,20,40,18,18,0,60,20,13,12,27.1,100.665
9,5,0,17,9,2,8,10,19,13,9,14,26.3,79.01
29,1,0,0,0,1,4,30,0,0,0,0,27,65.564
36,14,0,0,0,12,20,20,0,16,8,0,27.8,54.841
15,2,11,21,9,1,30,0,37,0,35,28,28.6,170.352
11,0,9,0,0,0,40,45,0,0,2,1,28.5,64.158
0,0,0,0,0,0,55,0,0,0,0,0,28.3,40.004
0,0,0,0,0,0,78,0,0,0,0,0,26.6,31.945
0,0,0,0,0,0,0,0,0,0,0,0,27.5,27.363
0,0,0,0,0,0,0,8,0,0,2,0,27.5,21.553
23,5,0,11,39,5,0,30,0,0,14,8,28.1,69.346
18,59,79,47,11,55,46,22,26,6,25,19,28.7,138.147
25,36,47,29,35,33,27,30,29,37,56,40,26.7,141.819
21,2,2,1,4,2,0,20,14,46,3,0,27.6,71.001
0,9,12,8,6,6,4,0,15,18,17,25,27.8,80.647
17,0,18,0,0,0,0,20,0,0,0,0,27.3,59.351
32,2,7,2,1,2,0,40,3,0,0,0,27.6,43.272
0,8,5,4,9,7,5,0,7,0,0,0,27.4,41.408
0,7,0,4,3,6,4,0,5,0,3,0,27.1,32.855
0,3,0,0,0,0,2,0,0,0,0,0,27.7,28.829
0,0,1,0,0,0,17,0,0,4,0,0,26.5,27.803
17,1,0,0,0,1,0,0,0,0,0,0,25.8,34.139
0,22,2,0,55,19,0,10,17,30,4,9,26.7,74.969
23,0,58,8,10,0,67,0,7,0,0,0,27.3,75.076
31,0,9,16,15,0,20,40,0,0,0,17,26.9,107.346
17,7,8,47,17,4,55,15,15,87,36,20,26.5,70.433
0,9,0,0,0,5,0,0,5,0,0,0,27.5,36.79
13,0,0,0,0,0,0,18,0,0,4,0,26.9,28.646
6,17,12,11,26,13,20,30,39,0,3,6,27.9,68.761
0,55,31,25,25,49,0,18,20,3,1,3,27.2,48.833
0,40,29,51,44,44,0,10,41,24,12,62,27,63.92
18,22,17,19,22,21,27,0,35,16,0,37,27.6,97.335
9,35,14,22,33,33,0,0,27,0,12,9,28.1,81.12
0,0,0,0,0,0,40,15,0,0,0,0,28.6,40.786
0,0,0,0,0,0,0,0,0,4,0,0,28.8,27.803
7,0,0,0,0,0,0,10,0,0,1,0,28.6,59.021
6,45,27,26,38,42,21,0,7,0,2,9,27.7,70.879
12,0,0,0,0,35,0,30,15,11,23,56,28,111.628
7,89,71,37,39,55,0,18,36,60,20,24,28,115.173
16,0,16,0,17,10,0,0,21,16,33,6,28.2,60.043
0,0,0,0,0,0,0,0,0,22,22,19,28.1,63.903
0,0,19,6,7,0,0,15,0,28,0,7,28,145.711
0,96,81,67,68,96,26,0,42,36,16,19,27.2,151.528
0,24,54,60,75,24,0,18,51,62,0,3,27.6,98.886
19,4,33,11,10,4,0,45,10,6,0,0,27.6,164.453
0,27,40,8,10,25,0,0,4,56,45,78,28.1,99.309
0,0,0,0,0,0,0,0,0,0,0,0,27.6,60.577
0,0,0,0,0,0,0,0,0,26,0,0,27.9,46.459
0,0,0,0,0,0,0,35,0,84,22,39,27.1,85.541
40,29,54,0,0,25,0,0,0,6,0,4,26.8,58.389
0,3,20,7,10,2,0,0,1,3,0,0,26.8,42.906
28,0,0,0,0,0,0,25,0,0,0,0,27.7,38.833
0,7,35,11,6,6,0,0,0,4,0,0,27.5,43.115
0,17,44,0,0,15,0,18,10,0,0,0,28.1,52.331
0,1,49,20,13,0,0,0,30,30,8,10,28.2,52.301
0,5,18,6,6,5,0,21,42,75,62,83,27.8,69.949
10,1,0,0,0,1,25,15,0,0,0,0,27.3,35.33
0,0,0,8,0,0,0,0,4,6,0,1,27.6,35.733
0,0,4,0,0,0,23,0,2,3,0,0,28.3,32.325
0,60,10,16,80,58,27,0,44,28,31,51,26.9,94.789
0,2,20,61,15,40,0,0,57,2,25,0,27.2,76.81
14,8,0,0,9,8,40,0,0,0,3,0,27.3,49.004
