Tanggal,Curah Hujan,Suhu,Debit
02/12/2015,1.2683,26.8,5.093
03/12/2015,46.92458,27.7,12.379
04/12/2015,0.359403,27.5,13.30573
05/12/2015,0.805197,26.5,20.9096
06/12/2015,0.320349,28.2,18.601
07/12/2015,1.033432,27.8,16.543
08/12/2015,1.304168,27.3,11.63541
09/12/2015,2.752431,27.5,9.742
10/12/2015,0.044981,28.7,18.922
11/12/2015,0.000762,28.1,11.11486
12/12/2015,0.029272,27.6,12.19021
13/12/2015,2.491784,28,24.102
14/12/2015,0.257709,27.2,25.097
15/12/2015,4.460942,27.6,29.33
16/12/2015,0.299661,27.6,38.408
17/12/2015,0.808924,28.1,40.986
18/12/2015,0.494205,27.6,17.02787
19/12/2015,0.571223,27.9,57.39
20/12/2015,5.064408,27.1,38.635
21/12/2015,3.062615,26.8,34.86588
22/12/2015,0,26.8,15.12658
23/12/2015,2.010967,27.3,57.545
24/12/2015,1.10012,27.6,27.534
25/12/2015,0.509608,28.1,17.022
26/12/2015,1.72448,28.6,27.45644
27/12/2015,0.552223,28.8,18.85263
28/12/2015,2.588428,28.6,41.494
29/12/2015,0.377958,27.7,18.44505
30/12/2015,0.728742,28,18.39779
31/12/2015,1.254137,28,12.038
01/01/2016,0.082695,28.2,11.941
02/01/2016,0.315895,28.1,11.639
03/01/2016,69.98944,27.7,100.665
04/01/2016,19.77181,27.8,79.01
05/01/2016,11.18115,27.8,65.564
06/01/2016,16.48327,27.8,62.42984
